Date,CPI,CORE_CPI,FED_RATE,UNEMPLOYMENT,NFP,RETAIL_SALES,INDUSTRIAL_PROD,PCE,PPI,BREAKEVEN,CPI_released,CORE_CPI_released,FED_RATE_released,UNEMPLOYMENT_released,NFP_released,RETAIL_SALES_released,INDUSTRIAL_PROD_released,PCE_released,PPI_released
2018-01-29,248.859,255.204,1.41,4.0,147660.0,481414.0,101.4625,101.199,197.9,2.09,0,0,0,0,0,0,0,1,0
2018-01-30,248.859,255.204,1.41,4.0,147660.0,481414.0,101.4625,101.199,197.9,2.1,0,0,0,0,0,0,0,0,0
2018-01-31,248.859,255.204,1.41,4.0,147660.0,481414.0,101.4625,101.199,197.9,2.11,0,0,0,0,0,0,0,0,0
2018-02-01,248.859,255.204,1.42,4.0,147660.0,481414.0,101.4625,101.199,197.9,2.11,0,0,1,0,0,0,0,0,0
2018-02-02,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.14,0,0,0,1,1,0,0,0,0
2018-02-05,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.1,0,0,0,0,0,0,0,0,0
2018-02-06,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.1,0,0,0,0,0,0,0,0,0
2018-02-07,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.1,0,0,0,0,0,0,0,0,0
2018-02-08,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.09,0,0,0,0,0,0,0,0,0
2018-02-09,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.05,0,0,0,0,0,0,0,0,0
2018-02-12,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.07,0,0,0,0,0,0,0,0,0
2018-02-13,248.859,255.204,1.42,4.1,148054.0,481414.0,101.4625,101.199,197.9,2.05,0,0,0,0,0,0,0,0,0
2018-02-14,249.529,255.711,1.42,4.1,148054.0,484031.0,101.4625,101.199,197.9,2.09,1,1,0,0,0,1,0,0,0
2018-02-15,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.11,0,0,0,0,0,0,1,0,1
2018-02-16,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.09,0,0,0,0,0,0,0,0,0
2018-02-20,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.1,0,0,0,0,0,0,0,0,0
2018-02-21,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.12,0,0,0,0,0,0,0,0,0
2018-02-22,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.11,0,0,0,0,0,0,0,0,0
2018-02-23,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.12,0,0,0,0,0,0,0,0,0
2018-02-26,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.13,0,0,0,0,0,0,0,0,0
2018-02-27,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.13,0,0,0,0,0,0,0,0,0
2018-02-28,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.199,199.3,2.12,0,0,0,0,0,0,0,0,0
2018-03-01,249.529,255.711,1.51,4.1,148054.0,484031.0,101.7085,101.524,199.3,2.1,0,0,1,0,0,0,0,1,0
2018-03-02,249.529,255.711,1.51,4.1,148054.0,484031.0,101.7085,101.524,199.3,2.12,0,0,0,0,0,0,0,0,0
2018-03-05,249.529,255.711,1.51,4.1,148054.0,484031.0,101.7085,101.524,199.3,2.13,0,0,0,0,0,0,0,0,0
2018-03-06,249.529,255.711,1.51,4.1,148054.0,484031.0,101.7085,101.524,199.3,2.12,0,0,0,0,0,0,0,0,0
2018-03-07,249.529,255.711,1.51,4.1,148054.0,484031.0,101.7085,101.524,199.3,2.13,0,0,0,0,0,0,0,0,0
2018-03-08,249.529,255.711,1.51,4.1,148054.0,484031.0,101.7085,101.524,199.3,2.11,0,0,0,0,0,0,0,0,0
2018-03-09,249.529,255.711,1.51,4.0,148280.0,484031.0,101.7085,101.524,199.3,2.12,0,0,0,1,1,0,0,0,0
2018-03-12,249.529,255.711,1.51,4.0,148280.0,484031.0,101.7085,101.524,199.3,2.1,0,0,0,0,0,0,0,0,0
2018-03-13,249.577,256.271,1.51,4.0,148280.0,484031.0,101.7085,101.524,199.3,2.09,1,1,0,0,0,0,0,0,0
2018-03-14,249.577,256.271,1.51,4.0,148280.0,484110.0,101.7085,101.524,199.3,2.07,0,0,0,0,0,1,0,0,1
2018-03-15,249.577,256.271,1.51,4.0,148280.0,484110.0,101.7085,101.524,199.3,2.08,0,0,0,0,0,0,0,0,0
