Date,CPI,CORE_CPI,FED_RATE,UNEMPLOYMENT,NFP,RETAIL_SALES,INDUSTRIAL_PROD,PCE,PPI,BREAKEVEN
2018-01-01,248.859,255.204,1.41,4.0,147660.0,481414.0,101.4625,101.199,197.9,
2018-01-02,,,,,,,,,,2.0
2018-01-03,,,,,,,,,,1.98
2018-01-04,,,,,,,,,,2.01
2018-01-05,,,,,,,,,,2.01
2018-01-08,,,,,,,,,,2.02
2018-01-09,,,,,,,,,,2.03
2018-01-10,,,,,,,,,,2.03
2018-01-11,,,,,,,,,,2.0
2018-01-12,,,,,,,,,,2.01
2018-01-15,,,,,,,,,,
2018-01-16,,,,,,,,,,2.03
2018-01-17,,,,,,,,,,2.04
2018-01-18,,,,,,,,,,2.05
2018-01-19,,,,,,,,,,2.06
2018-01-22,,,,,,,,,,2.06
2018-01-23,,,,,,,,,,2.06
2018-01-24,,,,,,,,,,2.07
2018-01-25,,,,,,,,,,2.07
2018-01-26,,,,,,,,,,2.09
2018-01-29,,,,,,,,,,2.09
2018-01-30,,,,,,,,,,2.1
2018-01-31,,,,,,,,,,2.11
2018-02-01,249.529,255.711,1.42,4.1,148054.0,484031.0,101.7085,101.416,199.3,2.11
2018-02-02,,,,,,,,,,2.14
2018-02-05,,,,,,,,,,2.1
2018-02-06,,,,,,,,,,2.1
2018-02-07,,,,,,,,,,2.1
2018-02-08,,,,,,,,,,2.09
2018-02-09,,,,,,,,,,2.05
2018-02-12,,,,,,,,,,2.07
2018-02-13,,,,,,,,,,2.05
2018-02-14,,,,,,,,,,2.09
2018-02-15,,,,,,,,,,2.11
2018-02-16,,,,,,,,,,2.09
2018-02-19,,,,,,,,,,
2018-02-20,,,,,,,,,,2.1
2018-02-21,,,,,,,,,,2.12
2018-02-22,,,,,,,,,,2.11
2018-02-23,,,,,,,,,,2.12
2018-02-26,,,,,,,,,,2.13
2018-02-27,,,,,,,,,,2.13
2018-02-28,,,,,,,,,,2.12
2018-03-01,249.577,256.271,1.51,4.0,148280.0,484110.0,102.2067,101.524,199.3,2.1
2018-03-02,,,,,,,,,,2.12
2018-03-05,,,,,,,,,,2.13
2018-03-06,,,,,,,,,,2.12
2018-03-07,,,,,,,,,,2.13
2018-03-08,,,,,,,,,,2.11
2018-03-09,,,,,,,,,,2.12
2018-03-12,,,,,,,,,,2.1
2018-03-13,,,,,,,,,,2.09
2018-03-14,,,,,,,,,,2.07
2018-03-15,,,,,,,,,,2.08
2018-03-16,,,,,,,,,,2.08
2018-03-19,,,,,,,,,,2.08
2018-03-20,,,,,,,,,,2.08
2018-03-21,,,,,,,,,,2.09
2018-03-22,,,,,,,,,,2.08
2018-03-23,,,,,,,,,,2.07
2018-03-26,,,,,,,,,,2.08
2018-03-27,,,,,,,,,,2.07
2018-03-28,,,,,,,,,,2.05
2018-03-29,,,,,,,,,,2.05
2018-03-30,,,,,,,,,,
2018-04-01,250.227,256.63,1.69,4.0,148420.0,484154.0,103.3329,101.766,200.3,
2018-04-02,,,,,,,,,,2.05
2018-04-03,,,,,,,,,,2.08
2018-04-04,,,,,,,,,,2.08
2018-04-05,,,,,,,,,,2.08
2018-04-06,,,,,,,,,,2.07
2018-04-09,,,,,,,,,,2.07
2018-04-10,,,,,,,,,,2.08
2018-04-11,,,,,,,,,,2.11
2018-04-12,,,,,,,,,,2.13
2018-04-13,,,,,,,,,,2.13
2018-04-16,,,,,,,,,,2.12
2018-04-17,,,,,,,,,,2.14
2018-04-18,,,,,,,,,,2.16
2018-04-19,,,,,,,,,,2.17
2018-04-20,,,,,,,,,,2.17
2018-04-23,,,,,,,,,,2.18
2018-04-24,,,,,,,,,,2.17
2018-04-25,,,,,,,,,,2.17
2018-04-26,,,,,,,,,,2.18
2018-04-27,,,,,,,,,,2.17
2018-04-30,,,,,,,,,,2.17
